system,tag,type,status
45,45-ZL4805,ZL,PID_ONLY
45,45-ZL4806,ZL,PID_ONLY
45,45-ZS4804,ZS,PID_ONLY
45,45-ZS4805,ZS,PID_ONLY
45,45-ZS4806,ZS,PID_ONLY
45,45-ER54A,ER,SCD_ONLY
45,45-ER54B,ER,SCD_ONLY
45,45-FE54,FE,SCD_ONLY
45,45-FE54A,FE,SCD_ONLY
45,45-FE54B,FE,SCD_ONLY
45,45-FE55,FE,SCD_ONLY
45,45-HS4806,HS,SCD_ONLY
45,45-HS4820,HS,SCD_ONLY
45,45-HS4821,HS,SCD_ONLY
45,45-HS4822,HS,SCD_ONLY
45,45-HS4823,HS,SCD_ONLY
45,45-HS4824,HS,SCD_ONLY
45,45-HS4825,HS,SCD_ONLY
45,45-HS4829,HS,SCD_ONLY
45,45-HS4830,HS,SCD_ONLY
45,45-HV4824,HV,SCD_ONLY
45,45-HV4825,HV,SCD_ONLY
45,45-JB051A,JB,SCD_ONLY
45,45-JB051B,JB,SCD_ONLY
45,45-JX50,JX,SCD_ONLY
45,45-LIC4826,LIC,SCD_ONLY
45,45-LIC4827,LIC,SCD_ONLY
45,45-LIC4828,LIC,SCD_ONLY
45,45-PIC4831,PIC,SCD_ONLY
45,45-TDIC4848,TDIC,SCD_ONLY
45,45-TDIC4850,TDIC,SCD_ONLY
45,45-TI4842,TI,SCD_ONLY
45,45-TI4848,TI,SCD_ONLY
45,45-TI4850,TI,SCD_ONLY
45,45-TIC4848,TIC,SCD_ONLY
45,45-TIC4850,TIC,SCD_ONLY
45,45-TID4850,TID,SCD_ONLY
45,45-XA9101A,XA,SCD_ONLY
45,45-XA9101B,XA,SCD_ONLY
45,45-XA9201,XA,SCD_ONLY
45,45-XA9203,XA,SCD_ONLY
45,45-XL4805,XL,SCD_ONLY
45,45-XV4806A,XV,SCD_ONLY
45,45-XV4820,XV,SCD_ONLY
45,45-XV4822,XV,SCD_ONLY
45,45-XV4823,XV,SCD_ONLY
45,45-XV4829,XV,SCD_ONLY
45,45-XV4830,XV,SCD_ONLY
45,45-XY4845A,XY,SCD_ONLY
45,45-XY4845B,XY,SCD_ONLY
45,45-XY4848,XY,SCD_ONLY
45,45-XY4850,XY,SCD_ONLY
45,45-XY850,XY,SCD_ONLY
45,45-ZSL4809,ZSL,SCD_ONLY
50,50-PA52,PA,BOTH
50,50-TV4816,TV,BOTH
50,50-PSE4801A,PSE,PID_ONLY
50,50-TG51,TG,PID_ONLY
50,50-TV4808,TV,PID_ONLY
50,50-XV4805,XV,PID_ONLY
50,50-FT4807,FT,SCD_ONLY
50,50-FT4810,FT,SCD_ONLY
50,50-FV4810,FV,SCD_ONLY
50,50-PT4802,PT,SCD_ONLY
50,50-PT4804,PT,SCD_ONLY
50,50-PT4806,PT,SCD_ONLY
50,50-PV4809,PV,SCD_ONLY
50,50-TIC4808,TIC,SCD_ONLY
50,50-TT4803,TT,SCD_ONLY
50,50-XS4801,XS,SCD_ONLY
50,50-XY4811,XY,SCD_ONLY
53,53-EC52,EC,SCD_ONLY
53,53-FE052A,FE,SCD_ONLY
53,53-GD50,GD,SCD_ONLY
53,53-II2085,II,SCD_ONLY
53,53-JB50,JB,SCD_ONLY
53,53-KI2085,KI,SCD_ONLY
53,53-PB50,PB,SCD_ONLY
53,53-XY2086,XY,SCD_ONLY
56,56-PH50,PH,SCD_ONLY
62,62-TA50,TA,SCD_ONLY
62,62-XX50,XX,SCD_ONLY
63,63-KC051,KC,BOTH
63,63-HS2005,HS,PID_ONLY
63,63-JX051,JX,PID_ONLY
63,63-JX053,JX,PID_ONLY
63,63-JX057,JX,PID_ONLY
63,63-SI3101,SI,PID_ONLY
63,63-SI3120,SI,PID_ONLY
63,63-SI4218,SI,PID_ONLY
63,63-VX58,VX,PID_ONLY
63,63-XV2005,XV,PID_ONLY
63,63-XY2005,XY,PID_ONLY
63,63-ZL2005,ZL,PID_ONLY
63,63-ZS2005,ZS,PID_ONLY
63,63-EC051,EC,SCD_ONLY
63,63-VK050,VK,SCD_ONLY
63,63-XV4800,XV,SCD_ONLY
63,63-XY4850,XY,SCD_ONLY
64,64-CB51,CB,PID_ONLY
64,64-FI2004A,FI,PID_ONLY
64,64-FT2004,FT,PID_ONLY
64,64-FY2004,FY,PID_ONLY
64,64-HS2002,HS,PID_ONLY
64,64-HS2003,HS,PID_ONLY
64,64-PI2040,PI,PID_ONLY
64,64-PI2043,PI,PID_ONLY
64,64-PSV2044,PSV,PID_ONLY
64,64-PT2002,PT,PID_ONLY
64,64-PT2041,PT,PID_ONLY
64,64-SI3102,SI,PID_ONLY
64,64-SI3121,SI,PID_ONLY
64,64-SI3147,SI,PID_ONLY
64,64-SI4217,SI,PID_ONLY
64,64-VX50,VX,PID_ONLY
64,64-XV2002,XV,PID_ONLY
64,64-XV2003,XV,PID_ONLY
64,64-XX50,XX,PID_ONLY
64,64-XX52,XX,PID_ONLY
64,64-XY2002,XY,PID_ONLY
64,64-XY2003,XY,PID_ONLY
64,64-ZL2002,ZL,PID_ONLY
64,64-ZL2003,ZL,PID_ONLY
64,64-ZS2002,ZS,PID_ONLY
64,64-ZS2003,ZS,PID_ONLY
64,64-CV51A,CV,SCD_ONLY
64,64-CV51B,CV,SCD_ONLY
64,64-FE050,FE,SCD_ONLY
64,64-FE052,FE,SCD_ONLY
64,64-FE52A,FE,SCD_ONLY
64,64-FE52B,FE,SCD_ONLY
64,64-FE53A,FE,SCD_ONLY
64,64-FE53B,FE,SCD_ONLY
64,64-KB50A,KB,SCD_ONLY
64,64-KB50B,KB,SCD_ONLY
64,64-XY4008A,XY,SCD_ONLY
64,64-XY4008B,XY,SCD_ONLY
64,64-XY4013A,XY,SCD_ONLY
64,64-XY4013B,XY,SCD_ONLY
64,64-XY4030A,XY,SCD_ONLY
64,64-XY4030B,XY,SCD_ONLY
64,64-XY4032,XY,SCD_ONLY
64,64-XY4042,XY,SCD_ONLY
65,65-JX42,JX,PID_ONLY
65,65-JX43,JX,PID_ONLY
65,65-JX44,JX,PID_ONLY
65,65-JX45,JX,PID_ONLY
65,65-JX48,JX,PID_ONLY
65,65-JX49,JX,PID_ONLY
65,65-JX50,JX,PID_ONLY
65,65-JX51,JX,PID_ONLY
70,70-XS2002A,XS,SCD_ONLY
70,70-XS2003A,XS,SCD_ONLY
70,70-XS2112B,XS,SCD_ONLY
71,71-FO2002,FO,PID_ONLY
71,71-FO2003,FO,PID_ONLY
71,71-FO2004,FO,PID_ONLY
71,71-FO2005,FO,PID_ONLY
71,71-FO2017,FO,PID_ONLY
71,71-HS2015,HS,PID_ONLY
71,71-HS2016,HS,PID_ONLY
71,71-HV2015,HV,PID_ONLY
71,71-HV2016,HV,PID_ONLY
71,71-PI2006,PI,PID_ONLY
71,71-PI2012,PI,PID_ONLY
71,71-PI2013,PI,PID_ONLY
71,71-PI2015,PI,PID_ONLY
71,71-PI2016,PI,PID_ONLY
71,71-PSV2015,PSV,PID_ONLY
71,71-PSV2016,PSV,PID_ONLY
71,71-PT2014,PT,PID_ONLY
71,71-SI3103,SI,PID_ONLY
71,71-SI3203,SI,PID_ONLY
71,71-SM056,SM,PID_ONLY
71,71-SM50,SM,PID_ONLY
71,71-SM51A,SM,PID_ONLY
71,71-SM51B,SM,PID_ONLY
71,71-SM52A,SM,PID_ONLY
71,71-SM52B,SM,PID_ONLY
71,71-SM52C,SM,PID_ONLY
71,71-SM52D,SM,PID_ONLY
71,71-SM52E,SM,PID_ONLY
71,71-SM52F,SM,PID_ONLY
71,71-SM52G,SM,PID_ONLY
71,71-SM52H,SM,PID_ONLY
71,71-SM52J,SM,PID_ONLY
71,71-SM52K,SM,PID_ONLY
71,71-SM52L,SM,PID_ONLY
71,71-SM52M,SM,PID_ONLY
71,71-SM52N,SM,PID_ONLY
71,71-SM53A,SM,PID_ONLY
71,71-SM53B,SM,PID_ONLY
71,71-SM53C,SM,PID_ONLY
71,71-SM53D,SM,PID_ONLY
71,71-VW015,VW,PID_ONLY
71,71-VW016,VW,PID_ONLY
71,71-XY2015,XY,PID_ONLY
71,71-FE067,FE,SCD_ONLY
71,71-GK102A,GK,SCD_ONLY
71,71-XS2051,XS,SCD_ONLY
71,71-XS2051A,XS,SCD_ONLY
71,71-XS2051B,XS,SCD_ONLY
72,72-CX50,CX,PID_ONLY
