tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
27-PIC4809,27,PIC,controller,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-PIC4825A,27,PIC,controller,BOTH,1,1,C025-V-HO27-P-_E-001-01.PDF,C025-V-HO27-J-_E-101-01.PDF
27-PIC4825B,27,PIC,controller,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PIC4825C,27,PIC,controller,BOTH,1,1,C025-V-HO27-P-_E-001-01.PDF,C025-V-HO27-J-_E-101-01.PDF
27-PIT2051A,27,PIT,other,SCD_ONLY,0,1,,C025-W-HO27-J-_E-001-01.PDF
27-PIT2061A,27,PIT,other,SCD_ONLY,0,1,,C025-W-HO27-J-_E-001-01.PDF
27-PSE4254,27,PSE,safety_element,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PSE4255,27,PSE,safety_element,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PSE4801A,27,PSE,safety_element,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-PSE4801B,27,PSE,safety_element,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-PSV4809,27,PSV,safety_valve,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PSV4810,27,PSV,safety_valve,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PSV4820,27,PSV,safety_valve,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
