drawing,source_id,assoc_type,target_id
C025-V-HA24-P-_E-001-01,S78D4969EC8FCEB1DF2783957FEE908,has logical end,S9D619910F4E080D189959A26031866
C025-V-HA24-P-_E-001-01,S79C632796B9EB3BAAE6829457ACCB3,is logical start of,S78D4969EC8FCEB1DF2783957FEE908
C025-V-HA24-P-_E-001-01,S79C632796B9EB3BAAE6829457ACCB3,is fulfilled by,SB74A3D02AB6A54696E63B8C1A2AB24
C025-V-HA24-P-_E-001-01,S79C632796B9EB3BAAE6829457ACCB3,is located in,S6542E76590C6C0296B87C93A474441
C025-V-HA24-P-_E-001-01,SFE7072D7F7E7D8ED53F27B8CAD38EA,is a part of,SA6CEE2F606B4B2864024E8BB5A7B0B
C025-V-HA24-P-_E-001-01,SFE7072D7F7E7D8ED53F27B8CAD38EA,is logical end of,SEE2209FA6955A83FC0108DDCF1202A
C025-V-HA24-P-_E-001-01,SFE7072D7F7E7D8ED53F27B8CAD38EA,is logical start of,S47A9116A25370257032BE8A8465C4D
C025-V-HA24-P-_E-001-01,SEE2209FA6955A83FC0108DDCF1202A,has logical start,S5CC2A4673D605D38B888E33EE4C0D5
C025-V-HA24-P-_E-001-01,SEE2209FA6955A83FC0108DDCF1202A,has logical end,SFE7072D7F7E7D8ED53F27B8CAD38EA
C025-V-HA24-P-_E-001-01,S47A9116A25370257032BE8A8465C4D,has logical start,SFE7072D7F7E7D8ED53F27B8CAD38EA
C025-V-HA24-P-_E-001-01,S47A9116A25370257032BE8A8465C4D,has logical end,S5C5BFB131E1316A90E554A25AE087D
C025-V-HA24-P-_E-001-01,S5C5BFB131E1316A90E554A25AE087D,is logical end of,S47A9116A25370257032BE8A8465C4D
C025-V-HA24-P-_E-001-01,S5C5BFB131E1316A90E554A25AE087D,is fulfilled by,S6A263A9D3547407D90746CD4A10998
C025-V-HA24-P-_E-001-01,S5C5BFB131E1316A90E554A25AE087D,is located in,S5E2F923CBE9E574BCC68BC2924F581
C025-V-HA24-P-_E-001-01,S1C8E1C7CE0B1828662D9E2D8C480ED,is a part of,SE307811D1D109D624933F82A737F7F
C025-V-HA24-P-_E-001-01,S1C8E1C7CE0B1828662D9E2D8C480ED,is logical start of,S99CF9C34C50BD312A6A413C0815DAE
C025-V-HA24-P-_E-001-01,S1C8E1C7CE0B1828662D9E2D8C480ED,is logical end of,S91EBB10400D4582384DAF4DB342E9D
C025-V-HA24-P-_E-001-01,S1C8E1C7CE0B1828662D9E2D8C480ED,is logical start of,SFC91A29F5FA0481BE5203EC9CFE0D9
C025-V-HA24-P-_E-001-01,S99CF9C34C50BD312A6A413C0815DAE,has logical start,S1C8E1C7CE0B1828662D9E2D8C480ED
C025-V-HA24-P-_E-001-01,S99CF9C34C50BD312A6A413C0815DAE,has logical end,SC51D0D8CEBD621CC8DAC7335C40D22
C025-V-HA24-P-_E-001-01,S91EBB10400D4582384DAF4DB342E9D,has logical end,S1C8E1C7CE0B1828662D9E2D8C480ED
C025-V-HA24-P-_E-001-01,SFC91A29F5FA0481BE5203EC9CFE0D9,has logical start,S1C8E1C7CE0B1828662D9E2D8C480ED
C025-V-HA24-P-_E-001-01,SFC91A29F5FA0481BE5203EC9CFE0D9,has logical end,S10F430B54FE806FA47D302EE21E794
C025-V-HA24-P-_E-001-01,S10F430B54FE806FA47D302EE21E794,is logical end of,SFC91A29F5FA0481BE5203EC9CFE0D9
C025-V-HA24-P-_E-001-01,S10F430B54FE806FA47D302EE21E794,is fulfilled by,S1033332067AC7202BE29EE4DBF1B76
