tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
20-TI2001B,20,TI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TI2010,20,TI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-TI2060,20,TI,indicator,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-TT2001,20,TT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TT2010,20,TT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-TT2060,20,TT,transmitter,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-VA50,20,VA,other,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-XV2008,20,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XV2009,20,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XV2015,20,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XV2202A,20,XV,shutdown_valve,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-XV2202B,20,XV,shutdown_valve,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-XY2001,20,XY,relay,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
20-XY2007,20,XY,relay,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XY2008,20,XY,relay,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XY2009,20,XY,relay,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XY2016,20,XY,relay,SCD_ONLY,0,1,,C025-W-HO20-J-_E-002-01.PDF
20-XY2202A,20,XY,relay,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-XY2202B,20,XY,relay,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-ZL2007,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2008,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2009,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2015,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2202A,20,ZL,position_indicator,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-ZL2202B,20,ZL,position_indicator,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-ZS10,20,ZS,position_switch,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-ZS11,20,ZS,position_switch,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-ZS2008,20,ZS,position_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZS2009,20,ZS,position_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZS2015,20,ZS,position_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZS2202A,20,ZS,position_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-ZS2202B,20,ZS,position_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
21-ESV2152,21,ESV,other,PID_ONLY,1,0,C025-W-HO65-P-_U-002-01.PDF,
21-HS2152,21,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO21-J-_E-001-01.PDF
